"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","fouls_total","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","fouls_team","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team"
"2019",1330529,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire",77,61,16,"W","200:00","30","62","48","4","20","20","26","42","61","13","16","81","28","13","41","19","14","12","2","0","15","16","15","77","11","11","2","22","42","32.55","22","13","5","4","0","3","2","1","0"
"2019",1330529,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers",61,77,-16,"L","200:00","23","63","36","8","24","33","15","39","38","7","9","77","20","12","32","18","16","8","0","2","16","15","16","61","15","12","4","11","22","3.1333333333333","4","7","5","4","0","3","2","1","0"
"2019",1330530,"Bendigo Spirit","Spirit","home","Townsville Fire","Fire",79,78,1,"W","200:00","28","64","43","9","21","42","19","43","44","14","21","66","33","8","41","16","12","4","2","2","21","17","21","79","20","10","2","18","34","9.2483333333333","5","9","19","10","0","5","4","1","0"
"2019",1330530,"Townsville Fire","Fire","away","Bendigo Spirit","Spirit",78,79,-1,"L","200:00","29","69","42","8","23","34","21","46","45","12","16","75","30","9","39","20","10","2","2","2","17","21","17","78","14","8","0","14","36","26.425","9","10","19","10","0","5","3","2","0"
"2019",1330531,"Perth Lynx","Lynx","home","UC Capitals","Capitals",59,76,-17,"L","200:00","22","78","28","7","24","29","15","54","27","8","14","57","28","21","49","11","11","6","5","5","21","19","21","59","12","19","2","12","24","1.7","3","7","5","4","0","5","2","3","0"
"2019",1330531,"UC Capitals","Capitals","away","Perth Lynx","Lynx",76,59,17,"W","200:00","31","71","43","10","22","45","21","49","42","4","9","44","39","15","54","24","15","3","5","5","19","21","19","76","8","20","7","2","32","33.685","20","10","5","4","0","5","4","1","1"
"2019",1330533,"Perth Lynx","Lynx","home","Southside Flyers","Flyers",75,90,-15,"L","200:00","29","74","39","9","27","33","20","47","42","8","10","80","26","16","42","17","16","9","3","4","16","12","16","75","14","9","4","27","34","0",,"6","1","1","0","3","2","1","1"
"2019",1330533,"Southside Flyers","Flyers","away","Perth Lynx","Lynx",90,75,15,"W","200:00","32","70","45","9","23","39","23","47","48","17","22","77","29","14","43","17","12","6","4","3","12","16","12","90","18","6","9","5","34","39.466666666667","15","9","1","1","0","6","4","2","0"
"2019",1330534,"Townsville Fire","Fire","home","Adelaide Lightning","Lightning",61,87,-26,"L","200:00","24","68","35","5","25","20","19","43","44","8","9","88","25","10","35","21","13","10","1","5","19","10","19","61","8","12","4","7","38","0",,"11","0","0","0","5","2","3","1"
"2019",1330534,"Adelaide Lightning","Lightning","away","Townsville Fire","Fire",87,61,26,"W","200:00","29","60","48","11","19","57","18","41","43","18","21","85","32","8","40","23","14","9","5","1","10","19","10","87","23","7","13","27","24","39.75","34","12","0","0","0","3","1","2","3"
"2019",1330535,"Bendigo Spirit","Spirit","home","UC Capitals","Capitals",94,90,4,"W","200:00","33","72","45","11","31","35","22","41","53","17","28","60","32","14","46","24","14","5","4","2","26","25","26","94","13","17","5","35","42","35.863333333333","14","10","7","5","0","7","2","5","0"
"2019",1330535,"UC Capitals","Capitals","away","Bendigo Spirit","Spirit",90,94,-4,"L","200:00","32","84","38","6","25","24","26","59","44","20","25","80","30","23","53","23","13","8","2","4","25","26","25","90","2","25","6","8","42","1.8416666666667","2","7","7","5","0","5","3","2","0"
"2019",1330536,"Adelaide Lightning","Lightning","home","Southside Flyers","Flyers",104,93,11,"W","200:00","40","73","54","11","22","50","29","51","56","13","16","81","32","7","39","37","11","6","5","3","14","14","14","104","14","1","17","16","52","34.751666666667","16","9","12","4","0","3","1","2","0"
"2019",1330536,"Southside Flyers","Flyers","away","Adelaide Lightning","Lightning",93,104,-11,"L","200:00","36","77","46","12","28","42","24","49","48","9","13","69","28","9","37","26","12","7","3","5","14","14","14","93","9","7","9","9","44","2.165","3","8","12","4","0","4","3","1","0"
"2019",1330538,"Sydney Uni Flames","Flames","home","Melbourne Boomers","Boomers",63,86,-23,"L","200:00","21","62","33","7","26","26","14","36","38","14","14","100","28","10","38","14","16","2","8","4","13","19","13","63","10","4","2","10","28","4.5166666666667","5","9","7","6","0","5","3","2","0"
