"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","first_name","family_name","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Laura","HODGES","L. HODGES","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Jessica","Good","J. Good","",,"07:43","5","0","0","2","2","2","100","1","1","100","1","1","100","0","0","0","2","0","2","0","0","0","1","0","0","1","4"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Natalie","Novosel","N. Novosel","","1","32:33","7","0","0","2","3","10","30","1","4","25","2","6","33","0","1","0","3","1","4","6","5","1","1","0","1","2","-4"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Nicole","Seekamp","N. Seekamp","","1","38:53","13","0","2","6","5","9","55","2","4","50","3","5","60","1","2","50","7","1","8","7","5","4","1","1","0","2","10"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Colleen","Planeta","C. Planeta","",,"24:11","11","0","2","2","4","11","36","1","4","25","3","7","42","2","2","100","2","0","2","1","1","1","2","0","1","1","2"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx","Ruth","Hamblin","R. Hamblin","","1","14:25","2","0","0","0","1","4","25","0","0","0","1","4","25","0","2","0","2","1","3","2","1","0","0","0","2","1","7"
"2017",681908,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning","Courtney","Williams","C. Williams","","1","34:45","25","2","4","2","11","20","55","3","4","75","8","16","50","0","0","0","3","1","4","1","4","3","0","1","2","2","-4"
"2017",681908,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning","Amanda","Dowe","A. Dowe","","1","26:42","2","0","0","0","1","2","50","0","0","0","1","2","50","0","0","0","3","0","3","3","2","3","0","0","2","1","10"
"2017",681908,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning","Alexandra","Ciabattoni","A. Ciabattoni","",,"20:46","13","0","4","10","5","7","71","0","2","0","5","5","100","3","3","100","3","1","4","2","1","0","0","0","2","3","3"
"2017",681908,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning","Natalie","Burton","N. Burton","",,"10:13","2","0","0","2","1","5","20","0","0","0","1","5","20","0","0","0","0","2","2","0","1","0","0","1","1","0","-16"
