"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","s_points_from_turnovers","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on"
"2014",64529,"UC Capitals","Capitals","home","Abigail","Wehrung","A",,"A. Wehrung","","0","25:58","9","2","0","2","2","3","9","33","1","4","25","2","5","40","2","2","100","1","1","2","2","4","1","1","0","1","3"
"2014",64529,"UC Capitals","Capitals","home","Samantha","Norwood","S",,"S. Norwood","","0","13:00","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","3","2","5","0","0","0","0","0","3","0"
"2014",64529,"UC Capitals","Capitals","home","Michelle","Cosier","M",,"M. Cosier","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64529,"West Coast Waves","Waves","away","Lindsey","Moore","L",,"L. Moore","","1","31:52","16","7","2","0","6","6","12","50","1","4","25","5","8","62","3","3","100","5","1","6","0","3","0","0","1","1","4"
"2014",64529,"West Coast Waves","Waves","away","Louella","Tomlinson","L",,"L. Tomlinson","","1","30:56","16","2","0","0","10","8","14","57","0","1","0","8","13","61","0","2","0","4","0","4","0","4","1","4","1","4","2"
"2014",64529,"West Coast Waves","Waves","away","Kate","Fielding","K",,"K. Fielding","","0","05:38","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"2014",64529,"West Coast Waves","Waves","away","Antonia","Edmondson","A",,"A. Edmondson","","1","13:57","3","0","0","0","2","1","2","50","0","0","0","1","2","50","1","1","100","1","0","1","0","0","1","1","0","5","2"
"2014",64529,"West Coast Waves","Waves","away","Cassie","Harberts","C",,"C. Harberts","","1","26:01","3","0","0","0","0","0","5","0","0","0","0","0","5","0","3","4","75","7","1","8","3","2","1","0","0","1","4"
"2014",64529,"West Coast Waves","Waves","away","Darcee","Garbin","D",,"D. Garbin","","0","20:28","4","0","0","0","0","1","6","16","1","2","50","0","4","0","1","2","50","3","1","4","1","3","0","0","0","1","2"
"2014",64529,"West Coast Waves","Waves","away","Ebony","Antonio","E",,"E. Antonio","","0","08:07","2","0","0","0","2","1","2","50","0","1","0","1","1","100","0","0","0","0","0","0","0","1","0","0","0","3","1"
"2014",64529,"West Coast Waves","Waves","away","Sarah","Graham","S",,"S. Graham","","1","24:06","5","5","2","0","2","2","12","16","1","9","11","1","3","33","0","0","0","2","0","2","0","1","1","0","1","4","2"
"2014",64529,"West Coast Waves","Waves","away","Shani","Amos","S",,"S. Amos","","0","10:43","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
